sentence,label
"anna hazare has no political standings .  a song from rajesh khanna starter dushman- sacchai chup nahi sakti banavat ke usole se , ke khushbu aa nahi sakti kabhi kaagaz ke phoolon se- jhootha hain tera vada & so on !",negative
"typical sat with the team (@ nj national guard armory for meek mill ,  machine gun kelly ,  vado and funkmaster flex) http/URL",neutral
gas by my house hit $3 . 39 !  !  !  !  i'm going to chapel hill on sat .  :),positive
vote for aap,positive
feeling proud .  jai hind,positive
"guddu tri series aur test series mein , kya lene gya tha ?  ?",neutral
awesome hillarious or no words can describe this great comedy,positive
ak is my hero,positive
n vow is likely to return from a midsummer break in the prix de royallieu at longchamp on saturday . : trainer wil .  .  .  http/URL,neutral
(y) nice man,positive
bhai .  .  .  matches tak guddu ka ghar se nikalna band kar do .  .  .  .  hum world cup jeet jaayenge .  .  .  :),positive
"sabse saste rate electricity ke delhi main hi hai ab free main milegi delhi walo ko electricity ye hi hai na  ,  agr main jhut bol raha hu to google par search kar lo ,  free ki aadat mat daalo nahi to delhi ko uttar pradesh bnane main tym nahi lgega",negative
"gotta remember to bring dionje candy tomorrow ,  lol he got mad at me today !",positive
koty ki jay ho bolo jay ho,positive
this post made me laugh and cry at the same time,neutral
sharma ji ka bahut charchit launda .  mere ghar ke paas bhi rehta tha .  aaj bhi charchit ha or singapore me baitha ha .  or me guddu ki tarah ps3 khelta hu,positive
snigdha main bhi ghar pe reh gaya .  bimaar .  bahut sardi ho gayi .  kisi ki baddua lagi hai .,negative
"well-said !  rt@someUSER  "" @someUSER dook football ,  even the sun shines on a dog's a$$ some days .  #unc """,neutral
"@someUSER he just got completely ,  utterly lost .  .  it's not like there was a viable 2nd option ,  everyone knew it was parker's shot !",negative
""" itne toh game hain khel lijo pura dusra maangna mat .  .  !  !  !   """,negative
ready to go to lexington with @someUSER and @someUSER for this game tomorrow night !,positive
contra mario tank jevlin throw .  .  yaad aa gya 1dam se .  .,neutral
ya .  .  .  really true .  .  .  .  .  .  missed those days,negative
maine sabhi k posts padhe yaha par  .  koi upa ka support kar raha hai to bjp ka  .  bt the fact is upa ho ya bjp dono ek hi sikke k 2 pahlu hai  .  jise jitna chance mila usne utna luta is desh ko  .  mai 100% anti modi hu & 500% anti upa  .  bt still want that ki modi pm bane  .  usk kai reason hai  .  aaj desh kai tukdo me bata hua hai  .  aaj kai state me muslims pakistan ka support kar rahe hai & vote politics ki wajah se upa chup hai  .  modi k ane se kam se kam desh me to pakistan ka supporter nahi rahega  .  modi k ane se shayad hum pakistan & china ko better reply de paye except saying we will n't play cricket  .  modi k ane se shayad economic to jarur upar jayegi  .  its better for us  .  so 1 bar mai modi ko b central me dekhna chahta hu,positive
we did for world cup final between india and australia .  .  . kuch nahi hua .,negative
mere liye toh papa ne stepny ke pichey special seat lagwayi thi :(,negative
"“fire is his head ,  the sun and moon his eyes ,  space his ears ,  the vedas his speech ,  the wind his breath ,  the universe his heart .  from his feet the earth has originated .  verily ,  he is the inner self of all beings . ”",positive
ab aaya ut pahad k niche .  .  .  .  kejriwal is best . samze annaji .,positive
hum paidaayshi actor hain boss .  .,positive
purana ho gaya kejriwal nahi farziwal hai dosto,negative
bale doesnt celebrate his goal but races over cuddling dempsey on the 2nd .  illustrates perfectly the bullshitting spotlight whores they are .,negative
"#wednesdaywisdom from the old @someUSER alsip sign: do it now ,  since it will be yesterday tomorrow .  http/URL",neutral
""" @someUSER @someUSER @someUSER oh ok .  pick jessica ass up too when you come .  ""  imaaa just come tomorrow !",neutral
"kiran ki dekhi nichta jo kumar par lagaay baat kuch bhi thi nahi thane rapat likhay , chunav aayog bhi pahuch gaye jaise ghar se kabhi na nikle sati savitri ban jaay . aaisha cm kaun kahe dubara police na paay .",negative
prestige se better hawkins khana banaye jhat se,positive
"@someUSER there were contradictory signals from the mayor vis a vis evacuation ,  + n . o .  has lots of 'canes ,  and may have been complacent",neutral
boss school din yaad aa jate hai .  .  .  .,neutral
"looks like rooney ,  rvp ,  rio ,  evra ,  giggs and young will all be rested tomorrow .  expecting a few of the youngsters to feature .  #mufc",neutral
"middle east online: washington - egypt's new islamist president ,  mohamed morsi ,  urged the united states late sat .  .  .  http/URL",neutral
aillaa guddu ko master ki laat  .  .  .  . agle episode mein kya guddu es baat ka badla lega  .  .  .  . intzaar mein agle episode k  .  .  . ting - tong,neutral
stop compaining others do it by yourself . u do have these issues . arvind kejriwal,negative
kabhi kabhi dukh bhi de jaati hai ye special seat,negative
"garbage bin bhai yaad hai in south africans ek ek tournament mein dhokha diya tha apne ko  ,  saale tournament se out the  ,  humse haar jaate to apan final pahuchte ,  par nhi  ,   .  .  .  .  aaaj ki jeet usi ka badlaa hai",negative
we're experiencing some issues with fuel tv (ch 39) .  should be back up friday or monday .,negative
bhai aise kam kyu krtay ho kbi kbi meri maa b baithi hoti hai side mai  .  .  .  mana she wont ae able to read the confsn par ye mc or bc to samaj he jayegi  .  .  .  or phr jo mdri tutegi uska jimmedar kon hoga btana jara  .  .  .  to #laga liya kro galiyo mai plz :/,negative
jaroor wo role madam k bete ko mila hoga,neutral
thank vvery news,positive
played the song 'ain't no need to worry (album version)' by the winans on @someUSER http/URL,neutral
our se member the alresford community choir to share the stage with brit award winning @someUSER on sep 15 @someUSER how exciting !,positive
billy cundiff may be leaving washington .  hopefully he won't miss the door on the way out .,positive
"wth apple ?  1st i go to the apple and there is less then 10 employees working ,  i have to wait 10 mins to check out .  wake up tim cook !  !  !",negative
"#web apple software ,  retail chiefs out in overhaul: san francisco (reuters) - apple inc ceo tim cook on monday replaced the heads of  .  .  .",neutral
nahin bhai aur wahan rakhne se koi faida nahin .  .  .  hamein hi de do .  .  .  hum phod denge,neutral
"pakistan clears visa accord ,  india welcomes it - new delhi/islamabad ,  nov 1 (ians) a day after pakistan's cabinet ap .  .  .  http/URL",positive
too good yr .  .  .,positive
ye sabhi towns me hota hai kya ?  ?  ?,neutral
ye na sudhrne ke… !  !  !,negative
"@someUSER if he's in the house ,  does pmsh usually answer elizabeth may if she gets a q ?",neutral
"wahi main kahu ke gudda ka gag kaha gaya .  chauka chaukaaaahhh ,  chauka chaukaaaahhh !",neutral
accha hua packet pe chips likh diya varna pata hi nhi chalta kya kha raha h udbilau .  .,negative
"kaha new year yar ,  yaha github block kar rakha h govt ne .  . apko new year ki padi .  .  .  :/",negative
school mai aur koi teacher nahi hai kya ?,neutral
"u should have said .  .   "" m danyavad dena chahunga apne parents ko jinke bina ye samabhav nhi ho pata """,positive
mene phle bhi bola tha .  .  .  ye guddu bigadtaa ja raha hai  .  .  .  samjhao koi ese  .  .  !  !  !,negative
gotta go see flight tomorrow denzel is the greatest actor ever,positive
"careless world tour hit up 8 places in cali .  haha the fuck ,  yoo .",negative
@someUSER bhai itne bade confession post karke hum par julam na kr,negative
bhai guddu .  .  . road safety naam ki bhi koi cheez hoti hai .  .  . pappa mumma ko boliyo helmet ke liye,neutral
"lady gaga fears classmates: los angeles ,  nov 1 (ians) singer lady gaga is still in touch with some people from h .  .  .  http/URL",negative
"sabse accha tha jab sharma ji ne apne ladke ko maara .  .  ye drishya wakai frame karne yogya hai .  .  ek cheez miss ho gyi .  .  sharma ji ko kehna chahiye tha .  .   ""  4 log kya kahenge ""  :)",negative
yaad diladi  .  .  admin ne  .  .  .  maza aagaya,positive
"dhoti sambhalti nahi .  . party sambhalne ki baat karta hai budhau ,  ,  ,  ,  ,  ,  ,",negative
battle tank mein main i think main level 120 tak pahuncha tha (should go into my cv) and then ammunition power itne kha liye hote the that white bricks ke saath saath collateral damage mein eagle queen khud hi ude dete the .  :-),negative
aunty ko jawan ladka chahiye bht confuse h  .  guys  .  .,negative
it's wednesday !  !  you know what that means .  .  .  .  new episodes of the challenge: battle of the seasons &amp; american horror story: asylum !  !,neutral
@someUSER @someUSER next sunday is penciled .  the harveys meet the lawson-mckennas for a royal rumble .,neutral
inhe kaho hindi hi theek hai .  .  aise to guddu ki english aur bigad jayegi :d,positive
dukan suru ho gyi kisi ko bhi blackmail krne ki,negative
ok i will be in the film mt zion which is out feb with the man stan walker .  the shit !  cool story bro ?  :),positive
how's channel 4 celebrating its 30th anniversary ?  is it pretending the first 20 years when it was any fucking good never happened ?,negative
haan saala meri cassate par bhi likha tha 999 in 1 but hote 20 game he the,negative
aa gaya congress ka or ek mohara,negative
ab kuch nhi ho sakta modi ji,negative
"ha ha ha i used to do it .  .  . record he kabhi bhi file ,  assignment ya model type dusro se banwane ka :) :p",positive
las vegas is my 3rd home and i'll be there after the election but the wynn just lost my business after the bogus obama comments .,negative
kuch log itne despo hain is page par reply karne wali girls ki profile open kar k friends request bhejte hain .,neutral
who starts at qb on friday ?  i'd play nichols .  have said that all year .  he had a big q4 with key targets and has already played calgary .,neutral
bhag kg bhag,negative
"excitement and danger #estatesales .  found old wwii shells ,  not inert !  spent time with bomb squad !  how is that for a monday ?",positive
"early bird @someUSER catches the strava fail .  @someUSER bosses lscc club run sat in spartacus flemings ,  wheel all day .",neutral
rula diya yaar .  .  . love u yaar:-),positive
@someUSER @someUSER can't really remember but i think it was capello's 2nd and we started with 9 or 10 wins and ended with chimenti,neutral
"effat university wins the 1st  "" p&amp;g's university challenge ""  at the procter and gamble's university competition .  http/URL",positive
liverpool looking to activate demba ba's 7m buy out clause with andy carroll going the other way in january,neutral
saare guddu jaise hi bade hoke teacher ban jate hai .  .,positive
charity to the max !  saturday on foxct both segments will be airing during the morning news due to storm coverage today .  #foxct,neutral
i still have one of them :-p,neutral
rail mantri ko or trains chalani chahie ye paresani sirf is train ki nahi h bahut traino ki kahi bhi jana ho har train me janral ke do hi dibe h,negative
ye bhi pm banne ka sapna dekh raha hai,neutral
shubh raatri dd channel rocks  !,positive
@someUSER @someUSER @someUSER @someUSER @someUSER go boro ! may the force be with you from the 1st second to the last !,positive
anna ab politics kr rha hai,neutral
:d too much hai .  .  .  .,positive
@someUSER it may be indian time tonite becky :-) xx,neutral
knicks vs heat tomorrow .  kicking off the season at msg .,neutral
"hahaha  ,  mujhe aaj hi pata chala that he is a batsman basicaly  ,  aaj tak mujhe lagta tha he is a spinner lol and ye uski shakal seriously kisi bandar ki copy lgti h  .",neutral
trueeeeeeee .  .  .  .  .  .  i love u mom,positive
wo cricket ka maidaan delhi ke chunaavi dangal ki tarah hota tha :p,negative
light kati hui hai :) welcome to india :3,negative
"i swear if tomorrow any niner fans start tweeting about kyle williams tomorrow ,  best believe i'm gonna put you on check .",negative
""" s ""  ki power se tehelka macha deta tha :p",positive
ye wrong h mujhe raina par pura visvash h,positive
@someUSER i'm dropping becca off tomorrow and then going to ash,neutral
"du sucks  .  .  .  .  bakwas hai du  .  .  .  saale ek se bada ek suttebaaz  ,  sharabi  ,  awara yahi milte hai all over india  .  .  .  .  sirf naam h du ka  .  .  .  .",negative
"guddu pakka a seciton me hoga ,  aisi badmash prajati ke insaan a section me hi hote hai .",negative
@someUSER o ok they got me off today wed &amp;friday but ima talk to zachary to see if i can work split shifts the rest of the week,positive
money $$$ bhut kharch kar rhe h bjp,neutral
@someUSER yea gibbs to score the 4th for afc still,neutral
chabad chabad .  .  .  . kuch to bacche aise the jo ladduuoon k lia hi jaate the :p,neutral
love your nation/pray for the people in danger/help them atleast 4 some days  .  ladki se pyar karne ko zindagi padi hai bhai  .  desh se bhi kuch pyar kar lo  .  .  .,neutral
why does the knicks/heat game have to come on tomorrow night during bibleball ?  oh well i'd rather play than watch any day !,negative
ye bag taangne ka style aur answer na pata hone pe book se muh chhupane wala shaan .  .  .  wah bhai wah .  .  .  !,positive
so he kissed u @ rajiv chowk metro station  .  .  .  .  .  .  wahan toh itni bheed hoti hain  .  .  .  .  .  .  !  sach main aisa hua tha kya  ?,neutral
@someUSER results live at 10pm on channel 4 .  if you have 4 music its on there from 9 . 45 .  lets get tanked up tomorrow either way !,positive
"ham ramzaado aur vikaszaado ko hi vote denge ,  haramzaado(sp ,  bsp ,  congress ,  aap ,  tmc etc .  .  .  . ) ko bilkul nahi .",negative
"ab aap daily 150 rupe ka free recharge kar sakte hai ,",positive
"kai bande aaj chhutti maare hai ,  without knowing the suprise that office mein ,  cafeteria ke baahar bade parde pe live project kiya ja raha hai ye match .  mast watching from floor balcony",positive
procrastinating .  i need to get ready for the 6th district chicago police rally against violence .  chi-town cheer will be performing .  king dr .,positive
ek dum sahi hai .  .  . hahahahaha .  . awesome .  .  . bhai hadditodu pehalwaan .  . baba tindeshaah .  . in sab pe bhi kuch banao  .  . bahot din hue  .  . in pe kuch aaya nahi .  .,positive
"bachpan k zakhm hare ho gye ye dekhke !  itni ummid se iske menu par nazar daalte the ,  aur mario ,  contra aur tanks ki har ek stage 50 alag alag naam se likhi milti thi !",negative
there are now only eight tickets left for @someUSER 's november 5th show at the leicester square theatre .  .  get in quick folks !  !  !,neutral
"meanwhile ,  alia bhat call salman khan and ask him ,   "" aapka bhai sohail pakistan ki team ki taraf se kyu khel raha tha ?  """,neutral
modi yug samapti ke oorr .  .  .,negative
bakwas mat kiya kro yr ladkiyo ko taklif hoti hai,negative
ab to guddu ke marks minus me aayenge :p,negative
reasons to celebrate: forcing the turnovers: the game sunday between the new york giants and  .  .  .  http/URL #nfl #nyg #giants,positive
@someUSER revision book right ?  i've already gave it to niesa .  she'll give it to you on tomorrow :) hopefully you'll get a+ in eng !  amin !,positive
"jo bhi ho arvind kejriwal ji ,  pure india ko apne comedian style se entertain bahut kar rahe hain .",positive
piss easy job analysing on motd2 .  they just repeat what gary neville says on super sunday .,positive
it's our 6th birthday !  !  !  !  !  reggie your the best partner ever !  !  !  !  we would like to thank all of our brides who .  .  .  http/URL,positive
i like mirja in this serial,positive
pagala gya h drama kr rha h,negative
tum ma bhe dum hai to tum bhe karo,neutral
popat bnaa diyaa be saale ne .  .  .,negative
chutiye .  .  . sirf vade krne se vote milte to aaj mein bhi pm hota,negative
koi kuch bhi kahe lekin delhi main bjp hi jeetegi .,positive
dr .  mohammed morsi announced as egypt's first elected president after the glorious 25th of jan revolution .  .  .  .  http/URL,positive
good point he may still be up .  .  . he's off to las vegas !  @someUSER @someUSER @someUSER @someUSER,positive
yes obviously  .  .  .  because you are not going to support zimbabwe or bangladesh .,neutral
haha .  .  omg !  so true fukrepanti le chakkar mein sab kuch sehan kr lete the,positive
"not best way priyanshi jain  ,  because we have this last and only option :(",negative
gun wale game se kiski t . v kharab hui hai ab tk,negative
wah guru abhi tumhe hi yaad kiya aur tum prakat ho gaye .  .  .  .  .  .  .  :),neutral
"ss4 - 1 mikko 10 . 45 , 9 - 2 petter +0 , 2 - 3 novikov +2 , 5 - 4 mads +6 , 9 with puncture .  still 3rd o/a .  latvala stopped .  #rallyitalia",neutral
i wish the best of luck to the boro football players and hope they kick butt saturday for shaun #winitforshaun,positive
ek no .  bhai sach mein school ke din yaad aa gaye,positive
great imagination .  .  .  :),positive
mera teacher bhi aisa hi dikhta hai,neutral
"faisal bhai ,  shukriya aapne mere pichle request ko shayad padhkar luncher paji ke darshan kara diye .  koi shabd kahe bina ,  bahut bada impact kar jate hai luncher paji",positive
"#personally i watch #extratime on ss4 with @someUSER mondays top class analysis who knows may the entire sa&lt;lol&gt; rt ""  @someUSER",neutral
doosre section ki bandiyan bhi taad lete the :p,neutral
yaha to ulta tha bhai .  .  .  .  !  !  !  pitaji hi the hamare to .  .  .  .  'no transaction limit' waale atm :-),negative
if your in indianapolis tomorrow swing by the macy's at castelton mall from 5:30-7:30 .  i'll be there signing autographs and pictures !,positive
real america will stand up for itself on tuesday and make it count .  mitt is ready to lead us out of our jimmy carter funk we're in,neutral
i just need to chill .  can't wait to unleash some aggression at black dahlia murder tomorrow .  #gonnaendalife,negative
@someUSER movie day and some of grammy's hot chocolate tomorrow .  .  .  #pleaseohplease,positive
national margarita day ?  this is like christmas in july only with tequila .  .  . lots of tequila,neutral
"is bayan ke bad to isko desdrohi declare kar denge andhbhakt , kyonki deshbhakti sirf dusro ka oppose karne me hai bjp ka virodh kisi v dhang se nhi kar sakte nhi desdrohi hai aap aapko pakistan jana chahiye .",negative
sare sentimnt bahar aa gye kambakhto,negative
hehehehehehehehehehe .  .  . maine bhi kabhi chalk tym par laake kabhi nahi diya tha .  .  .,negative
guddu ne kabhi king of fighter nahi khela kya,neutral
agar izzat nahi rahi to ucchalo bhi mat yaar ( y ),positive
mt @someUSER free tickets for @someUSER talking about dial m for murdoch on 6th december are available http/URL,neutral
but kejriwal will win definitely .  .  .,positive
car racing or star galaxy b milta tha :d mast game tha yar ;),positive
new add or bhi mast h,positive
watching the eli young band on the cmas right now .  .  about this time tomorrow i will be watching them in person in starkville !  !  !  !,neutral
@someUSER @someUSER @someUSER if you dont know hes the vocalist of the metal band lamb of god and is a sorta a 3rd party candidate,negative
ha ha ha  .  .  .  mast h .  .  .  yhi exact sentence h esse better to ban hi nhi skta .  .  .  .  sabse mast expression guddu ko bahar fekne k tym uske face pe,positive
monday night football at #ciscos .  . win a chance at going to hawaii for the pro bowl  !  !  !  happy hour all night http/URL,positive
hahaha .  . lehen ke bodey ne emotional karr diya .,neutral
bhai agar bahar gya to baingan (brinjal) ke sath he wapas aayega guddu,positive
chadar odh ke chupchaap so jao neend achi aayegi  .,positive
"now that halloween is over ,  read about britain's traditional guy fawkes night !  remember remember the 5th of november !  http/URL",neutral
unhone pehle pic ni dkhi ti kya tmhari jo milne k baad hi ignore kia tmhe  .   .   .   ?,negative
and the monstography bidding begins .  .  .  silent auction closes tuesday 20th 8pm .  who will be nz's next top mon http/URL,neutral
"@someUSER it's not fair ,  dear .  .  .  #truthbetold will be available in taiwan on 2 ,  nov .  it's tomorrow !  !",negative
ek baar toh guddu ko bhi chalaney detey .  .  ya idhar bhi pair nahi pahunch rahe ?  :p,negative
lagta hai feku ke gadhe khud feku se door hone lage hai .  .  .  . apne papa ko delhi me akela chhod diye .  .  . marne ke liye .,negative
if the steelers play as good as they did sunday i say keep the bee uniforms on all the way to the superbowl #steelers,positive
superb,positive
superbbb,positive
tuje sab he pata garbage bin,positive
hoti hai bcoz parents kar chillate hai aur bf par had se zyada trust karte hai  .  usse bolo ki apne parents ki sune,negative
@someUSER me and katie are busy after school we have to go to playtoes and stuff .  but saturday morning .  lets do it !  then beach,neutral
guddu ke dost ka bag radio lag rha hai :v,neutral
ghar pe maa .  .  . aur school main teachers .  .  .  . hamesha guddu ko hi kaam batate hain .  .  . bechaara guddu .  .  .  :) :-p,negative
meri toh koi help hi nai krta tha,negative
tum log mujhe jealous kar rahe ho,neutral
@someUSER that's crazy .  i'm more jealous of u going to joe pa's grave !  i was sad saturday when i walked past where the statue should be:(,negative
1st they should complete their promises in india .,neutral
bj penn vs .  nick diaz replay on fueltv !  i'd pay to watch it a 2nd time !,positive
same bilkul same to same  .  mene bhi kiya hai,neutral
l se power leke end karta hai contra .  .  .  . sai hai guddu,positive
har game ke 500 version hote the :’),negative
bhai aapka koi comment nhi aaya .  .,negative
"haha .  .  nice .  .  .  .  plus new syllabus me candy crush ,  temple run n subway surfer .  .  .  n btw don't underestimate girls",positive
you know the situation of indian economy is bad when sonia gandhi has to go to a local hospital  .,negative
"just filled out my home depot application .  .  .  . matteson ,  alsip ,  orland park ,  homewood ,  &amp; cal city now i need to make moves that way tomorrow .",neutral
